metric,median_ratio,ci_lo,ci_hi,above_1
hip_ROM,3.6976031689123205,1.8129500101587221,14.268876815250097,0.9993
knee_ROM,2.7347285451806975,0.9559182739214191,83.55799647972178,0.9662
ankle_ROM,8.974617684707233,3.1188633671226076,96.71179097645438,1.0
pelvis_obliquity,0.3594318367154493,0.12070314123108518,1.2678275111108306,0.0371037103710371
trunk_lean_ROM,25.96155238212097,5.738600980041323,125.23089135944156,0.9985279130336315
shoulder_ROM,1.6888944248172697,0.5764188636895278,8.5839366755471,0.8117
elbow_ROM,1.4135897310791894,0.5672379170633611,7.882022873231633,0.7607
hip_SPARC,20.371881816923946,8.431515907781396,60.636357555490825,1.0
knee_SPARC,13.157633804698417,6.944835971345758,26.715159361707315,1.0
hip_SI,13.27844504915829,2.5106730914508177,34.70767747277146,0.9929
knee_SI,2.354837259102848,0.5171211310911212,6.615012904066834,0.8657
ankle_SI,48.4401392256293,11.77570797382613,197.3116604548543,0.9999
hip_waveform_sym,1.0329535079867318,0.5084364740461533,2.0356204712783526,0.5378
cadence,1.6711920333040071,0.7385365208768362,3.9631057548794795,0.8945
stride_time,10.590461396590605,2.028724242223102,49.16688777442187,0.9994
stride_time_CV,2.3330804124727518,0.6651260553887485,8.920473673220572,0.9073
kinematic_CV,3.5178437304982526,0.7825839435863327,9.999739460157532,0.9553
hip_CRP_MAD,1.014691323764766,0.45441379878719634,2.431445318061988,0.5154
hip_knee_CRP,1.5851535839113855,0.6730101150881237,3.52134170787555,0.8716
arm_swing_ROM,1.6747445296433612,0.5717032103424237,8.301731439506975,0.8027
arm_swing_SI,96.65112360600588,22.62295125558737,238.11307194092925,1.0
double_support,0.7092319830586294,0.2516418035249267,2.27010289396275,0.2641
MQS,0.5934223385281818,0.17467806919760362,1.5722248984758753,0.1426
GDI,56.56351873632312,23.497655183304403,128.68119061759478,1.0
